# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  U1 O2
# Reduced formula:  UO2
# space group: (Fm-3m), space number:  (225)
# abc:  3.856567   3.856567   3.856567
# angles: 60.000000  60.000000  60.000000
# sites: 3
# mp-1597
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=92 Rmt= 1.626 Rnm= 1.706 L3 shell
# Pot 1 Z= 8 Rmt= 1.042 Rnm= 1.093
# Gam_ch=8.104E+00 H-L exch
# Mu=-4.652E+00 kf=2.032E+00 Vint=-2.038E+01 Rs_int= 1.785
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.3617
#           2       0.00000      7.66     24.00     3   3.7252
#           3       0.00000      8.06     24.00     3   4.2899
#           4       0.00000     34.73     24.00     2   4.5222
#           5       0.00000      5.91      8.00     3   4.7233
#           6       0.00000     12.51      8.00     4   4.7233
#           7       0.00000      5.60      8.00     4   4.7233
#           8       0.00000     12.56     48.00     3   4.8054
#          10       0.00000      4.56     96.00     3   5.3702
#          11       0.00000     11.36     24.00     2   5.9434
#    10/  11 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     9.6000   -5.119695E-03  7.769949E-03  3.069656E+01
     9.6500   -3.765428E-03  8.017946E-03  3.092706E+01
     9.7000   -2.103458E-03  8.160743E-03  3.115523E+01
     9.7500   -3.097707E-04  8.228812E-03  3.137827E+01
     9.8000    1.471016E-03  8.257771E-03  3.159502E+01
     9.8500    3.149850E-03  8.283302E-03  3.180601E+01
     9.9000    4.689551E-03  8.335315E-03  3.201347E+01
     9.9500    6.078350E-03  8.432365E-03  3.222093E+01
    10.0000    7.293827E-03  8.578047E-03  3.243246E+01
    10.0500    8.316421E-03  8.800718E-03  3.265343E+01
    10.1000    8.992670E-03  9.039580E-03  3.288480E+01
    10.1500    9.170481E-03  9.262359E-03  3.312769E+01
    10.2000    8.706823E-03  9.434263E-03  3.338199E+01
    10.2500    7.522371E-03  9.522215E-03  3.364674E+01
    10.3000    5.649446E-03  9.497761E-03  3.392048E+01
    10.3500    3.255272E-03  9.338821E-03  3.420147E+01
    10.4000    6.290164E-04  9.030601E-03  3.448781E+01
    10.4500   -1.868327E-03  8.565959E-03  3.477740E+01
    10.5000   -3.880557E-03  7.945466E-03  3.506777E+01
    10.5500   -5.139767E-03  7.177348E-03  3.535573E+01
    10.6000   -5.533611E-03  6.277595E-03  3.563652E+01
    10.6500   -5.136452E-03  5.270854E-03  3.590201E+01
    10.7000   -4.193792E-03  4.193918E-03  3.613606E+01
    10.7500   -3.062049E-03  3.108456E-03  3.630133E+01
    10.8000   -2.118332E-03  2.150604E-03  3.630177E+01
    10.8500   -1.663528E-03  1.680089E-03  3.598779E+01
    10.9000   -1.844399E-03  2.071315E-03  3.565585E+01
    10.9500   -2.615540E-03  2.958527E-03  3.564202E+01
    11.0000   -3.751473E-03  3.957236E-03  3.580442E+01
    11.0500   -4.931609E-03  4.948730E-03  3.604511E+01
    11.1000   -5.746480E-03  5.854160E-03  3.632041E+01
    11.1500   -5.872897E-03  6.639251E-03  3.661354E+01
    11.2000   -5.136148E-03  7.282097E-03  3.691625E+01
    11.2500   -3.554529E-03  7.769009E-03  3.722390E+01
    11.3000   -1.334322E-03  8.093129E-03  3.753348E+01
    11.3500    1.181733E-03  8.253868E-03  3.784278E+01
    11.4000    3.597188E-03  8.256576E-03  3.814990E+01
    11.4500    5.552974E-03  8.112244E-03  3.845305E+01
    11.5000    6.802979E-03  7.837157E-03  3.875036E+01
    11.5500    7.255888E-03  7.452475E-03  3.903971E+01
    11.6000    6.975421E-03  6.983735E-03  3.931871E+01
    11.6500    6.142958E-03  6.460227E-03  3.958461E+01
    11.7000    4.996473E-03  5.914133E-03  3.983445E+01
    11.7500    3.764971E-03  5.379154E-03  4.006542E+01
    11.8000    2.616963E-03  4.888137E-03  4.027576E+01
    11.8500    1.635533E-03  4.469113E-03  4.046604E+01
    11.9000    8.233363E-04  4.139739E-03  4.064048E+01
    11.9500    1.314502E-04  3.901858E-03  4.080701E+01
    12.0000   -5.007934E-04  3.739701E-03  4.097502E+01
    12.0500   -1.122026E-03  3.635064E-03  4.115450E+01
    12.1000   -1.714519E-03  3.541781E-03  4.134602E+01
    12.1500   -2.228665E-03  3.429347E-03  4.154813E+01
    12.2000   -2.596434E-03  3.275903E-03  4.175574E+01
    12.2500   -2.764276E-03  3.070986E-03  4.196076E+01
    12.3000   -2.722994E-03  2.817461E-03  4.215182E+01
    12.3500   -2.522298E-03  2.534534E-03  4.231320E+01
    12.4000   -2.263089E-03  2.263297E-03  4.242507E+01
    12.4500   -2.068391E-03  2.072174E-03  4.247193E+01
    12.5000   -2.041581E-03  2.044949E-03  4.246890E+01
    12.5500   -2.225625E-03  2.230253E-03  4.247593E+01
    12.6000   -2.577668E-03  2.601843E-03  4.254793E+01
    12.6500   -2.969174E-03  3.091544E-03  4.269380E+01
    12.7000   -3.214196E-03  3.634628E-03  4.289725E+01
